landon@el304b:~/cex_permute$ make; make test; prism -importmodel buildModel.tra,sta,lab -ctmc scripts/pro.csl
(javac -classpath "/usr/local/prism-src/prism/classes:/usr/local/prism-src/prism/lib/*:/usr/local/prism-src/prism/prism/classes:/usr/local/prism-src/prism/prism/lib/*" -d classes src/./BuildModel.java)
PRISM_DIR=/usr/local/prism-src/prism PRISM_MAINCLASS=simulate.BuildModel bin/run
bin/run: 21: [[: not found
Welcome to the model commutation tool.
Prism model loaded succesfully.
Processed 4100 paths with a state count of 5486
Processed 4110 paths with a state count of 5486
Processed 4120 paths with a state count of 5486
Processed 4130 paths with a state count of 5486
Processed 4140 paths with a state count of 5486
Processed 4150 paths with a state count of 5486
Processed 4160 paths with a state count of 5486
Processed 4170 paths with a state count of 5486
Processed 4180 paths with a state count of 5486
Processed 4190 paths with a state count of 5486
Processed 4200 paths with a state count of 5486
Processed 4210 paths with a state count of 5486
Processed 4220 paths with a state count of 5486
Processed 4230 paths with a state count of 5486
Processed 4240 paths with a state count of 5486
Processed 4250 paths with a state count of 5486
Processed 4260 paths with a state count of 5486
Processed 4270 paths with a state count of 5486
Processed 4280 paths with a state count of 5545
Processed 4290 paths with a state count of 5545
Processed 4300 paths with a state count of 5545
Processed 4310 paths with a state count of 5545
Processed 4320 paths with a state count of 5545
Processed 4330 paths with a state count of 5545
Processed 4340 paths with a state count of 5545
Processed 4350 paths with a state count of 5545
Processed 4360 paths with a state count of 5545
Processed 4370 paths with a state count of 5545
Processed 4380 paths with a state count of 5545
Processed 4390 paths with a state count of 5545
Processed 4400 paths with a state count of 5545
Processed 4410 paths with a state count of 5545
Processed 4420 paths with a state count of 5545
Processed 4430 paths with a state count of 5545
Processed 4440 paths with a state count of 5545
Processed 4450 paths with a state count of 5545
Processed 4460 paths with a state count of 5545
Processed 4470 paths with a state count of 5545
Processed 4480 paths with a state count of 5545
Processed 4490 paths with a state count of 5545
Processed 4500 paths with a state count of 5545
Processed 4510 paths with a state count of 5545
Processed 4520 paths with a state count of 5545
Processed 4530 paths with a state count of 5545
Processed 4540 paths with a state count of 5545
Processed 4550 paths with a state count of 5545
Processed 4560 paths with a state count of 5545
Processed 4570 paths with a state count of 5545
Processed 4580 paths with a state count of 5545
Processed 4590 paths with a state count of 5545
Processed 4600 paths with a state count of 5545
Processed 4610 paths with a state count of 5545
Processed 4620 paths with a state count of 5545
Processed 4630 paths with a state count of 5545
Processed 4640 paths with a state count of 5545
Processed 4650 paths with a state count of 5545
Processed 4660 paths with a state count of 5545
Processed 4670 paths with a state count of 5545
Processed 4680 paths with a state count of 5545
Processed 4690 paths with a state count of 5545
Processed 4700 paths with a state count of 5553
Processed 4710 paths with a state count of 5553
Processed 4720 paths with a state count of 5553
Processed 4730 paths with a state count of 5553
Processed 4740 paths with a state count of 5553
Processed 4750 paths with a state count of 5553
Processed 4760 paths with a state count of 5553
Processed 4770 paths with a state count of 5553
Processed 4780 paths with a state count of 5553
Processed 4790 paths with a state count of 5553
Processed 4800 paths with a state count of 5553
Processed 4810 paths with a state count of 5553
Processed 4820 paths with a state count of 5553
Processed 4830 paths with a state count of 5553
Processed 4840 paths with a state count of 5553
Processed 4850 paths with a state count of 5553
Processed 4860 paths with a state count of 5553
Processed 4870 paths with a state count of 5553
Processed 4880 paths with a state count of 5553
Processed 4890 paths with a state count of 5553
Processed 4900 paths with a state count of 5553
Processed 4910 paths with a state count of 5553
Processed 4920 paths with a state count of 5553
Processed 4930 paths with a state count of 5553
Processed 4940 paths with a state count of 5553
Processed 4950 paths with a state count of 5553
Processed 4960 paths with a state count of 5553
Processed 4970 paths with a state count of 5553
Processed 4980 paths with a state count of 5568
Processed 4990 paths with a state count of 5568
Processed 5000 paths with a state count of 5568
Processed 5010 paths with a state count of 5568
Processed 5020 paths with a state count of 5568
Processed 5030 paths with a state count of 5568
Processed 5040 paths with a state count of 5568
Processed 5050 paths with a state count of 5568
Processed 5060 paths with a state count of 5568
Processed 5070 paths with a state count of 5568
Processed 5080 paths with a state count of 5568
Processed 5090 paths with a state count of 5568
Processed 5100 paths with a state count of 5568
Processed 5110 paths with a state count of 5568
Processed 5120 paths with a state count of 5568
Processed 5130 paths with a state count of 5568
Processed 5140 paths with a state count of 5568
Processed 5150 paths with a state count of 5568
Processed 5160 paths with a state count of 5568
Processed 5170 paths with a state count of 5568
Processed 5180 paths with a state count of 5568
Processed 5190 paths with a state count of 5568
Processed 5200 paths with a state count of 5568
Processed 5210 paths with a state count of 5568
Processed 5220 paths with a state count of 5568
Processed 5230 paths with a state count of 5568
Processed 5240 paths with a state count of 5568
Processed 5250 paths with a state count of 5568
Processed 5260 paths with a state count of 5568
Processed 5270 paths with a state count of 5568
Processed 5280 paths with a state count of 5568
Processed 5290 paths with a state count of 5568
Processed 5300 paths with a state count of 5568
Processed 5310 paths with a state count of 5568
Processed 5320 paths with a state count of 5568
Processed 5330 paths with a state count of 5568
Processed 5340 paths with a state count of 5568
Processed 5350 paths with a state count of 5568
Processed 5360 paths with a state count of 5568
Processed 5370 paths with a state count of 5568
Processed 5380 paths with a state count of 5568
Processed 5390 paths with a state count of 5568
Processed 5400 paths with a state count of 5573
Processed 5410 paths with a state count of 5573
Processed 5420 paths with a state count of 5573
Processed 5430 paths with a state count of 5573
Processed 5440 paths with a state count of 5573
Processed 5450 paths with a state count of 5573
Processed 5460 paths with a state count of 5573
Processed 5470 paths with a state count of 5573
Processed 5480 paths with a state count of 5573
Processed 5490 paths with a state count of 5573
Processed 5500 paths with a state count of 5573
Processed 5510 paths with a state count of 5573
Processed 5520 paths with a state count of 5573
Processed 5530 paths with a state count of 5573
Processed 5540 paths with a state count of 5573
Processed 5550 paths with a state count of 5573
Processed 5560 paths with a state count of 5573
Processed 5570 paths with a state count of 5573
Processed 5580 paths with a state count of 5573
Processed 5590 paths with a state count of 5573
Processed 5600 paths with a state count of 5573
Processed 5610 paths with a state count of 5573
Processed 5620 paths with a state count of 5573
Processed 5630 paths with a state count of 5573
Processed 5640 paths with a state count of 5573
Processed 5650 paths with a state count of 5573
Processed 5660 paths with a state count of 5573
Processed 5670 paths with a state count of 5573
Processed 5680 paths with a state count of 5573
Processed 5690 paths with a state count of 5573
